entry,category,subcategory1,subcategory2,distillery,bottle,region,ABV,age,notes,occasion,retired
1,Gin,All,,Windspiel,Premium Dry Gin,"Eifel, Germany",47.00%,,,,
1,Other,Brandy,,Orcas Island Distillery,Archipelago de Haro,"Washington, USA",40.00%,,,,
1,Other,Pineapple Brandy,,Ritual Sister,Smoked Pineapple,"New York, USA",40.00%,,,,
1,Other,Rum,,Koloa,12 Barrel Select,"Kauai, USA",46.00%,4 Years,,,
1,Other,Rum,,Koloa,Kaua'i Coffee Rum,"Kauai, USA",34.00%,,,,
1,Other,Rum,,Ten to One,Caribbean White Rum,"Jamaica & Dominican Republic
",40.00%,,,,
1,Retired - Whiskey,Rest of World,,Kavalan,Classic Single Malt,Taiwan,40.00%,,,,25-Jul
1,Retired - Whiskey,Rest of World,,Kavalan,Concertmaster - Sherry Cask,Taiwan,40.00%,,,,25-Jul
1,Whiskey,American,American Single Malt,St. George Spirits,Baller,"California, USA",47.00%,,Umeshu Finished,,
1,Whiskey,American,American Single Malt,Virginia Distillery Co.,The Brewer's Coalition Goose Island Bourbon County Brand Stout Cask Finished,"Virginia, USA",50.00%,,,,
1,Whiskey,American,American Single Malt,Virginia Distillery Co.,The Brewer's Coalition Hardywood Gingerbread Stout Cask Finished,"Virginia, USA",50.00%,,,,
1,Whiskey,American,American Single Malt,Westland,7th Peat Week - Escaped,"Washington, USA",60.80%,7.4 Years,Ex-Rum Cask #6732,,
1,Whiskey,American,American Single Malt,Westland,8th Peat Week - Grand Finale,"Washington, USA",54.50%,7.1 Years,,,
1,Whiskey,American,American Single Malt,Westland,Colere 1st Edition,"Washington, USA",50.00%,4 Years,Skagit Valley Malting Alba Barley,Director Whiskey,
1,Whiskey,American,American Single Malt,Westland,Colere 2nd Edition,"Washington, USA",50.00%,4.9 Years,Talisman Barley,Director Whiskey,
1,Whiskey,American,American Single Malt,Westland,Colere 3rd Edition,"Washington, USA",50.00%,3.3 Years,Pilot Barley,Director Whiskey,
1,Whiskey,American,American Single Malt,Westland,Colere 4th Edition,"Washington, USA",50.00%,5.9 Years,"Fritz barley, also known as NZ-151",,
1,Whiskey,American,American Single Malt,Westland,Cask No. 3799 - Ratification Cask,"Washington, USA",55.00%,8 Years,,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 5699 - Tequila,"Washington, USA",52.60%,9 Years,,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 6234- Madeira,"Washington, USA",65.60%,,,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 6333 - Petite Syrah,"Washington, USA",61.30%,8 Years,,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 6744 - Mount Gay Rum,"Washington, USA",53.90%,9 Years,,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 7637 - Rachel's Handfill,"Washington, USA",48.90%,,Pajarette Hogshead,,
1,Whiskey,American,American Single Malt,Westland,Cask No. 10741 - Asa's Handfill (Bottle 69),"Washington, USA",63.00%,,Peated Malt & Amarone Cask,,
1,Whiskey,American,American Single Malt,Westland,Cloudburst Cask Exchange,"Washington, USA",48.50%,,Old Tubthumper Barleywine Cask,,
1,Whiskey,American,American Single Malt,Westland,Fast Penny Cask Exchange,"Washington, USA",52.60%,9 Years,,,
1,Whiskey,American,American Single Malt,Westland,Greenwood Cask Exchange,"Washington, USA",50.10%,,,,
1,Whiskey,American,American Single Malt,Westland,Holy Mountain Cask Exchange,"Washington, USA",50.00%,6 Years,Finished in American Strong Beer Casks that previously held Port (35 months),,
1,Whiskey,American,American Single Malt,Westland,Lost Lantern Single Cask  - Peated ASM,"Washington, USA",54.90%,9.99 Years,,,
1,Whiskey,American,American Single Malt,Westland,Sherry Wood,"Washington, USA",46.00%,,,,
1,Whiskey,American,American Single Malt,Westland,Wine Cask Finish,"Washington, USA",46.00%,5 Years,,,
1,Whiskey,American,American Single Malt,Westland,Flagship,"Washington, USA",46.00%,3.3 Years,,,
1,Whiskey,American,American Single Malt,Westward Whiskey,Lost Lantern Single Cask  - ASM Finished in Stout Casks ,"Oregon, USA",68.50%,,,,
1,Whiskey,American,American Single Malt,Whiskey Del Bac,"Distiller's Cut, Fall 2023","Arizona, USA",58.00%,,Mesquite smoked and finished in Sauternes barrels & Tawny Port barrels,,
1,Whiskey,American,American Single Malt,Whiskey Del Bac,Dorado,"Arizona, USA",46.00%,,Mesquite smoked,,
1,Whiskey,American,Bourbon,Bardstown,Goose Island Bourbon County Finished,"Kentucky, USA",50.00%,,Wet barrels,,
1,Whiskey,American,Bourbon,FEW,Cold Cut,"Illinois, USA",46.50%,,Cut from barrel strenght with cold brew coffee,,
1,Whiskey,American,Bourbon,FEW,Lost Lantern Single Cask No. 3,"Illinois, USA",62.30%,,,,
1,Whiskey,American,Bourbon,High Wire Distilling Co,Lost Lantern Single Cask - Jimmy Red ,South Carolina,58.70%,,,,
1,Whiskey,American,Bourbon,Iron Smoke,Casket Strenght,"New York, USA",60.00%,,,Iron Anniversary,
1,Whiskey,American,Bourbon,Old Boudreau's,Old Boudreau's Insanely Small Batch 2019 Release,"Washington, USA",50.00%,12 Years,Sherry & Angostura Bitters Barrel Finished,,
1,Whiskey,American,Bourbon,Old Boudreau's,Old Boudreau's Insanely Small Batch 2020 Release,"Washington, USA",47.50%,12 Years,Sherry & Angostura Bitters Barrel Finished,,
1,Whiskey,American,Bourbon,Rabbit Hole,Heigold,"Kentucky, USA",47.50%,,,,
1,Whiskey,American,Bourbon,Wildwood Spirits Co,The Dark Door,"Washington, USA",45.00%,,,,
1,Whiskey,American,Bourbon,Wollersheim Distillery,Lost Lantern Single Cask,"Wisconsin, USA",65.60%,,,,
1,Whiskey,American,Bourbon,Woodinville Whiskey Co.,Lost Lantern Single Cask No. 8,"Washington, USA",58.50%,,,,
1,Whiskey,American,Hardcore,Bainbridge Organic Distillers,Yama | Mizunara Cask Single Grain Whiskey,"Bainbridge Island, WA",43.00%,,"Aromatic sandalwood, tropical flowers, star anise, joss incense; flavors of nutmeg, clove, pear, marzipan, toasted coconut, yuzu; finishes with fading spice, honey, and oak",Retirement Gift ‘23,
1,Whiskey,American,Hardcore,Michter's,Toasted Barrel Bourbon,"Kentucky, USA",45.70%,,,,
1,Whiskey,American,Other,45th Parellel,Wisconsin Wheat - Woodman's Private Barrell,"Wisconsin, USA",60.00%,,,,
1,Whiskey,American,Other,Bainbridge Organic Distillers,"Battle Point, Two Islands Hokkadio Mizunara Cask","Washington, USA",63.90%,,Full Barrel Proof,,
1,Whiskey,American,Other,Deschutes x Bend Distillery,Black Butte Whiskey,"Oregon, USA",47.00%,5 Years,,,
1,Whiskey,American,Other,FEW,Chicago Smokeworks,"Arizona, USA",46.50%,,Cherrywood Smoked Malt,,
1,Whiskey,American,Other,Iron Smoke,Rattlesnake Rosie's Apple Pie,"New York, USA",35.00%,,,,
1,Whiskey,American,Other,Koval,Oat,"Illinois, USA",40.00%,,,,
1,Whiskey,American,Other,Lost Lantern,Flame,"Vermont, USA",57.00%,,Blend of Sante Fe Spirits and Whiskey Del Bac,,
1,Whiskey,American,Other,Michter's,American No. 1,"Kentucky, USA",41.70%,,,,
1,Whiskey,American,Other,Michter's,Sour Mash,"Kentucky, USA",43.00%,,,,
1,Whiskey,American,Rye,FEW,Immortal Rye,"Illinios, USA",46.50%,,Uses Eight Immortals Tea,,
1,Whiskey,American,Rye,Michter's,Straight Rye,"Kentucky, USA",42.40%,,,,
1,Whiskey,American,Rye,WhistlePig,12 Old World Rye,"Vermont, USA",43.00%,12 Years,"Rich fruit and spice notes, including rye spice, apricots, plums, raisins, dates, honey, dark chocolate, winter fruit, caramel, and vanilla",,
1,Whiskey,American,Rye,Wildwood Spirits Co,Rendition,"Washington, USA",45.00%,5 Years,,,
1,Whiskey,American,Rye,Willett,Small Batch Rye,"Kentucky, USA",55.90%,4 Years,,,
1,Whiskey,Japanese,Hardcore,Suntory,Hibiki 17,Japan,43.00%,17 Years,,,
1,Whiskey,Japanese,,Ichiro's Malt,MWR - Mizunara Wood Reserve,Japan,46.00%,,,Yokohama Trip Dec '24,
1,Whiskey,Japanese,,Ichiro's Malt,Wine Wood Reserve,Japan,46.00%,,,Yokohama Trip Dec '24,
1,Whiskey,Japanese,,Nikka,Yoichi - Peaty & Salty,"Hokkaido, Japan",55.00%,NAS,"Bold peat smoke, briny maritime salinity, toasted oak, subtle sweetness",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Nikka,Yoichi - Sherry & Sweet,"Hokkaido, Japan",55.00%,NAS,"Rich dried fruit, dark chocolate, nutty sweetness, hints of spice",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Nikka,Yoichi - Woody & Vanillic,"Hokkaido, Japan",55.00%,NAS,"Soft vanilla on the nose, woody on the palate, hints of bourbon sweetness, cocoa, and malt",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Suntory,Hakushu,"Yamanashi, Japan",43.00%,,,,
1,Whiskey,Japanese,,Suntory,Hibiki Japanese Harmony,Japan,43.00%,,,,
1,Whiskey,Rest of World,,Jameson,Stout Edition,Ireland,40.00%,,Stout Cask Finish,,
1,Whiskey,Rest of World,,Kavalan,Concertmaster - Port Cask,Taiwan,40.00%,,,,
1,Whiskey,Rest of World,,Kavalan,King Car Conductor,Taiwan,46.00%,,,,
1,Whiskey,Rest of World,,Kavalan,Oloroso Sherry Oak,Taiwan,54.00%,,,,
1,Whiskey,Rest of World,,Kavalan,Port Oak,Taiwan,54.00%,,,,
1,Whiskey,Rest of World,,Odd Society,Bomber Brewing Community Collaboration,"Vancouver, Canada",50.00%,,Double IPA Whiskey,,
1,Whiskey,Rest of World,,Odd Society,Burns Bog,"Vancouver, Canada",46.00%,,Canadian Smoked Malt Whiskey,,
1,Whiskey,Scotch,Blended,Chivas Regal,Mizunara,Scotland,40.00%,12 Years,,,
1,Whiskey,Scotch,Blended,Monkey Shoulder,Monkey Shoulder Batch 27,Scotland,43.00%,,,,
1,Whiskey,Scotch,Islay,Ardbeg,An Oa,Islay,46.60%,,,,
1,Whiskey,Scotch,Islay,Ardbeg,Spectacular,Islay,46.00%,,Port Cask,,
1,Whiskey,Scotch,Islay,Ardbeg,Ten Year,Islay,46.00%,10 Years,,,
1,Whiskey,Scotch,Islay,Ardbeg,Uigeadail,Islay,54.20%,,,,
1,Whiskey,Scotch,Islay,Port Charlotte,Islay Barley Heavily Peated,Islay,50.00%,,,,
1,Whiskey,Scotch,Highland,Kirkland Signature,Highland 12 Year Single Malt,Highland,46.00%,12 Years,,,
1,Whiskey,Scotch,Islay,Kirkland Signature,Islay Single Malt,Islay,46.00%,,,,
1,Whiskey,Scotch,Lowland,Kirkland Signature,Lowland Single Malt,Lowland,46.00%,,,,
1,Whiskey,Scotch,Speyside,Kirkland Signature,Speyside 10 Year Single Malt,Speyside,46.00%,10 Years,,,
1,Whiskey,American,Bourbon,Old Fitzgerald,Larceny,"Kentucky, USA",46.0%,,,,
1,Whiskey,American,Other,Bainbridge Organic Distillers,Battle Point Whiskey,"Washington, USA",43.0%,,,,
1,Gin,All,,Cirka,Gin Navy Strength,"Montreal, Canada",57.1%,,,,
1,Other,Rum,,KoHana,Kea - Hawaiian Agricole Rum,"Hawaii, USA",40.0%,,,,
1,Other,Brandy,,Remy Martin,VSOP,"Cognac, France",40.0%,,,,
1,Whiskey,Japanese,,Suntory,The Yamazaki,"Osaka, Japan",43.0%,,,,
1,"Amaro, Liquers and Vermouth",Liqueur,,Arbutus Distllery,Birch Liqueur,"Vancouver, Canada",25.0%,,,,
1,Whiskey,Japanese,,Nikka,Yoichi Single Malt,"Hokkaido, Japan",45.0%,,,,
1,Whiskey,Japanese,,Nikka,Miyagikyo Single Malt,"Miyagi, Japan",45.0%,,,,
1,Whiskey,Japanese,,Suntory,The Yamazaki 12 Year,"Osaka, Japan",43.0%,12 Year,,12 Year,
1,"Amaro, Liquers and Vermouth",Liqueur,,Wildwood Spirits Co,Solgud,"Washington, USA",40.0%,,,,Orange and Herbal Liqueur
1,"Amaro, Liquers and Vermouth",Liqueur,,Chartreuse,Green Chartreuse,France,55.0%,,,,
1,Whiskey,American,Rye,WhistlePig,Small Batch Rye,"Vermont, USA",50.0%,10 Years,,10 Years,
1,"Amaro, Liquers and Vermouth",Liqueur,,St. George Spirits,Absinthe Verte,"California, USA",60.0%,,,,
